246	324446	LATIN SMALL LETTER O WITH DIAERESIS
247	785	DIVISION SIGN
248	9901	LATIN SMALL LETTER O WITH STROKE
249	21007	LATIN SMALL LETTER U WITH GRAVE
250	281977	LATIN SMALL LETTER U WITH ACUTE
251	9244	LATIN SMALL LETTER U WITH CIRCUMFLEX
252	782076	LATIN SMALL LETTER U WITH DIAERESIS
253	2057	LATIN SMALL LETTER Y WITH ACUTE
254	506	LATIN SMALL LETTER THORN
255	695	LATIN SMALL LETTER Y WITH DIAERESIS
256	473	LATIN CAPITAL LETTER A WITH MACRON
257	20639	LATIN SMALL LETTER A WITH MACRON
258	280	LATIN CAPITAL LETTER A WITH BREVE
259	4805	LATIN SMALL LETTER A WITH BREVE
260	2159	LATIN CAPITAL LETTER A WITH OGONEK
261	19436	LATIN SMALL LETTER A WITH OGONEK
262	1856	LATIN CAPITAL LETTER C WITH ACUTE
263	19155	LATIN SMALL LETTER C WITH ACUTE
264	15	LATIN CAPITAL LETTER C WITH CIRCUMFLEX
265	28	LATIN SMALL LETTER C WITH CIRCUMFLEX
266	13	LATIN CAPITAL LETTER C WITH DOT ABOVE
267	29	LATIN SMALL LETTER C WITH DOT ABOVE
268	775	LATIN CAPITAL LETTER C WITH CARON
269	7621	LATIN SMALL LETTER C WITH CARON
270	66	LATIN CAPITAL LETTER D WITH CARON
271	301	LATIN SMALL LETTER D WITH CARON
272	1856	LATIN CAPITAL LETTER D WITH STROKE
273	10224	LATIN SMALL LETTER D WITH STROKE
274	252	LATIN CAPITAL LETTER E WITH MACRON
275	9374	LATIN SMALL LETTER E WITH MACRON
276	36	LATIN CAPITAL LETTER E WITH BREVE
277	227	LATIN SMALL LETTER E WITH BREVE
278	19	LATIN CAPITAL LETTER E WITH DOT ABOVE
279	564	LATIN SMALL LETTER E WITH DOT ABOVE
280	4540	LATIN CAPITAL LETTER E WITH OGONEK
281	43143	LATIN SMALL LETTER E WITH OGONEK
282	34	LATIN CAPITAL LETTER E WITH CARON
283	2565	LATIN SMALL LETTER E WITH CARON
284	98	LATIN CAPITAL LETTER G WITH CIRCUMFLEX
285	213	LATIN SMALL LETTER G WITH CIRCUMFLEX
286	20502	LATIN CAPITAL LETTER G WITH BREVE
287	390205	LATIN SMALL LETTER G WITH BREVE
288	39	LATIN CAPITAL LETTER G WITH DOT ABOVE
289	109	LATIN SMALL LETTER G WITH DOT ABOVE
290	82	LATIN CAPITAL LETTER G WITH CEDILLA
